player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Filip Petrusev,0,2.0,3.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Franz Wagner,1,27.0,33.5,20.1,5.8,4.0,1.1,0.3,0.452,0.493,1.7
Fred VanVleet,3,25.0,38.0,17.4,4.3,8.8,1.1,0.6,0.397,0.5,1.6
Furkan Korkmaz,0,20.0,6.9,1.9,0.5,0.5,0.5,0.0,0.361,0.431,0.4
Gabe Vincent,0,5.0,25.4,5.4,1.0,3.0,1.2,0.0,0.375,0.406,0.4
Garrett Temple,0,6.0,3.2,1.8,0.3,0.5,0.2,0.0,0.8,0.9,0.0
Garrison Mathews,0,16.0,11.4,2.8,1.1,0.2,0.3,0.1,0.429,0.643,0.4
Gary Harris,2,22.0,22.2,7.1,1.8,1.9,0.9,0.2,0.424,0.54,0.4
Gary Payton II,5,14.0,17.3,5.9,3.1,0.9,1.2,0.3,0.479,0.542,0.6
Gary Trent Jr.,3,25.0,25.3,11.1,2.3,1.6,0.6,0.1,0.4,0.5,0.6
Georges Niang,0,29.0,22.2,8.0,3.6,1.2,0.3,0.1,0.403,0.507,0.8
Giannis Antetokounmpo,74,27.0,34.8,30.9,11.0,5.4,1.4,1.2,0.603,0.613,3.9
Goga Bitadze,1,24.0,21.1,7.4,6.3,1.8,0.7,1.7,0.597,0.601,0.8
Gordon Hayward,0,23.0,32.3,15.0,4.7,4.7,1.1,0.4,0.468,0.507,2.0
Gradey Dick,1,18.0,12.8,3.5,1.2,0.8,0.3,0.0,0.284,0.366,0.7
Grant Williams,1,25.0,29.4,9.2,3.9,1.7,0.4,0.6,0.414,0.547,0.8
Grayson Allen,1,23.0,33.1,12.2,4.6,2.7,1.0,0.5,0.482,0.613,1.4
Greg Brown III,0,4.0,5.8,2.0,1.8,0.8,0.0,0.0,0.4,0.4,0.3
Gregory Jackson II,0,4.0,4.8,2.0,0.8,0.0,0.3,0.3,0.3,0.4,0.3
Gui Santos,0,3.0,6.0,3.7,2.0,0.3,0.0,0.0,0.571,0.643,0.7
Harrison Barnes,2,27.0,30.8,11.8,3.1,1.4,0.7,0.2,0.487,0.598,0.7
Harry Giles,0,7.0,6.0,4.9,1.4,0.1,0.1,0.3,0.583,0.604,0.3
Haywood Highsmith,0,19.0,21.1,6.3,2.8,1.5,1.1,0.6,0.422,0.525,0.9
Herbert Jones,0,26.0,30.0,11.0,4.0,2.8,1.5,1.1,0.476,0.541,1.4
Hunter Tyson,0,8.0,2.5,0.3,0.6,0.1,0.0,0.0,0.25,0.25,0.0
Immanuel Quickley,1,26.0,24.0,15.0,2.8,2.7,0.6,0.1,0.444,0.535,1.0
Isaac Okoro,0,20.0,25.0,7.6,3.6,2.1,0.9,0.4,0.496,0.574,0.7
